project_split,document_type,sample_count,accuracy,macro_f1
test,form,240,0.42916666666666664,0.3004553966632618
test,invoice,224,0.35714285714285715,0.23809523809523808
test,receipt,480,0.3645833333333333,0.3127512846927044
train,form,1400,0.5,0.3456196581196581
train,invoice,1400,0.5,0.3333333333333333
train,receipt,2800,0.5,0.4548255180424305
validation,form,240,0.42916666666666664,0.3193752158609119
validation,invoice,256,0.390625,0.2604237311124976
validation,receipt,480,0.3458333333333333,0.3226501658895547
