project_split,true_zone,attempted_count,estimated_count,failure_count,failure_rate,low_confidence_count,reliable_count,reliable_rate,zone_accuracy,mean_angle_confidence,mean_combined_confidence,circular_mae_degrees,circular_median_ae_degrees,circular_std_degrees,circular_rmse_degrees,maximum_circular_error_degrees,within_1_degrees_count,within_1_degrees_rate,within_2_degrees_count,within_2_degrees_rate,within_3_degrees_count,within_3_degrees_rate,within_5_degrees_count,within_5_degrees_rate,within_10_degrees_count,within_10_degrees_rate
test,1,236,232,4,0.01694915254237288,232,0,0.0,0.3135593220338983,0.09350466727615409,0.09350466727615409,108.29849137931035,92.125,72.74102747050968,130.4600333914567,180.0,35,0.15086206896551724,45,0.1939655172413793,47,0.2025862068965517,48,0.20689655172413793,53,0.22844827586206898
test,2,236,232,4,0.01694915254237288,232,0,0.0,0.3347457627118644,0.0927845096143621,0.0927845096143621,119.18857758620689,178.0,69.51214115703355,137.97773296897807,180.0,20,0.08620689655172414,31,0.1336206896551724,34,0.14655172413793102,34,0.14655172413793102,40,0.1724137931034483
test,3,236,232,4,0.01694915254237288,232,0,0.0,0.4322033898305085,0.09343374508632839,0.09343374508632839,70.25431034482759,88.0,72.00006347846984,100.59660661737568,180.0,85,0.36637931034482757,102,0.4396551724137931,107,0.46120689655172414,107,0.46120689655172414,108,0.46551724137931033
test,4,236,232,4,0.01694915254237288,232,0,0.0,0.4364406779661017,0.09284394687140164,0.09284394687140164,61.53556034482759,2.25,69.24826554304805,92.63880109151032,180.0,96,0.41379310344827586,115,0.4956896551724138,118,0.5086206896551724,120,0.5172413793103449,120,0.5172413793103449
validation,1,244,244,0,0.0,244,0,0.0,0.26229508196721313,0.08504788397527031,0.08504788397527031,116.93647540983606,175.75,69.81086539888472,136.18992697338666,180.0,23,0.0942622950819672,39,0.1598360655737705,44,0.18032786885245902,45,0.18442622950819673,46,0.1885245901639344
validation,2,244,244,0,0.0,244,0,0.0,0.2786885245901639,0.08427321827336334,0.08427321827336334,119.25512295081967,177.625,69.31208914189784,137.93458613135977,180.0,19,0.0778688524590164,35,0.14344262295081966,40,0.16393442622950818,42,0.1721311475409836,44,0.18032786885245902
validation,3,244,244,0,0.0,244,0,0.0,0.4959016393442623,0.08501521749032433,0.08501521749032433,61.986680327868854,2.75,70.42002990286755,93.81539932010183,180.0,101,0.4139344262295082,120,0.4918032786885246,123,0.5040983606557377,126,0.5163934426229508,127,0.5204918032786885
validation,4,244,244,0,0.0,244,0,0.0,0.47540983606557374,0.0843556565721857,0.0843556565721857,60.50717213114754,2.75,69.44684619557144,92.10853557526399,180.0,101,0.4139344262295082,119,0.48770491803278687,123,0.5040983606557377,128,0.5245901639344263,128,0.5245901639344263
