project_split,document_type,attempted_count,estimated_count,failure_count,failure_rate,low_confidence_count,reliable_count,reliable_rate,zone_accuracy,mean_angle_confidence,mean_combined_confidence,circular_mae_degrees,circular_median_ae_degrees,circular_std_degrees,circular_rmse_degrees,maximum_circular_error_degrees,within_1_degrees_count,within_1_degrees_rate,within_2_degrees_count,within_2_degrees_rate,within_3_degrees_count,within_3_degrees_rate,within_5_degrees_count,within_5_degrees_rate,within_10_degrees_count,within_10_degrees_rate
test,form,240,240,0,0.0,240,0,0.0,0.42916666666666664,0.10158057690850335,0.10158057690850335,89.253125,2.375,89.29346654329032,126.25150886062049,180.0,101,0.42083333333333334,119,0.49583333333333335,121,0.5041666666666667,121,0.5041666666666667,121,0.5041666666666667
test,invoice,224,224,0,0.0,224,0,0.0,0.35714285714285715,0.09852120591754109,0.09852120591754109,90.0546875,90.75,89.25593073977646,126.79301208247412,180.0,84,0.375,108,0.48214285714285715,111,0.4955357142857143,112,0.5,112,0.5
test,receipt,480,464,16,0.03333333333333333,464,0,0.0,0.3645833333333333,0.08641185930128356,0.08641185930128356,89.99838362068965,90.0,57.2219158508112,106.64922272559767,180.0,51,0.10991379310344827,66,0.14224137931034483,74,0.15948275862068967,76,0.16379310344827586,88,0.1896551724137931
validation,form,240,240,0,0.0,240,0,0.0,0.42916666666666664,0.08773206217734714,0.08773206217734714,88.53125,2.625,89.30097786943601,125.74755216305405,180.0,97,0.4041666666666667,119,0.49583333333333335,121,0.5041666666666667,122,0.5083333333333333,122,0.5083333333333333
validation,invoice,256,256,0,0.0,256,0,0.0,0.390625,0.08926135995745396,0.08926135995745396,90.0302734375,90.0,89.19681928099851,126.73406292342294,180.0,96,0.375,119,0.46484375,124,0.484375,128,0.5,128,0.5
validation,receipt,480,480,0,0.0,480,0,0.0,0.3458333333333333,0.080696331558849,0.080696331558849,90.05,90.0,57.49143822126909,106.8375775125494,180.0,51,0.10625,75,0.15625,85,0.17708333333333334,91,0.18958333333333333,95,0.19791666666666666
