project_split,dataset,attempted_count,estimated_count,failure_count,failure_rate,low_confidence_count,reliable_count,reliable_rate,zone_accuracy,mean_angle_confidence,mean_combined_confidence,circular_mae_degrees,circular_median_ae_degrees,circular_std_degrees,circular_rmse_degrees,maximum_circular_error_degrees,within_1_degrees_count,within_1_degrees_rate,within_2_degrees_count,within_2_degrees_rate,within_3_degrees_count,within_3_degrees_rate,within_5_degrees_count,within_5_degrees_rate,within_10_degrees_count,within_10_degrees_rate
test,coru,240,240,0,0.0,240,0,0.0,0.36666666666666664,0.09208639021204362,0.09208639021204362,90.653125,90.0,45.387891197077096,101.38071680345989,180.0,9,0.0375,13,0.05416666666666667,14,0.058333333333333334,15,0.0625,22,0.09166666666666666
test,fatura,224,224,0,0.0,224,0,0.0,0.35714285714285715,0.09852120591754109,0.09852120591754109,90.0546875,90.75,89.25593073977646,126.79301208247412,180.0,84,0.375,108,0.48214285714285715,111,0.4955357142857143,112,0.5,112,0.5
test,funsd,240,240,0,0.0,240,0,0.0,0.42916666666666664,0.10158057690850335,0.10158057690850335,89.253125,2.375,89.29346654329032,126.25150886062049,180.0,101,0.42083333333333334,119,0.49583333333333335,121,0.5041666666666667,121,0.5041666666666667,121,0.5041666666666667
test,sroie,240,224,16,0.06666666666666667,224,0,0.0,0.3625,0.08073732839052349,0.08073732839052349,89.296875,90.0,67.63444391452651,112.01941746140648,180.0,42,0.1875,53,0.23660714285714285,60,0.26785714285714285,61,0.27232142857142855,66,0.29464285714285715
validation,coru,240,240,0,0.0,240,0,0.0,0.3541666666666667,0.08909329349594564,0.08909329349594564,89.66145833333333,90.0,53.26283808425844,104.28857574657926,180.0,21,0.0875,30,0.125,34,0.14166666666666666,35,0.14583333333333334,38,0.15833333333333333
validation,fatura,256,256,0,0.0,256,0,0.0,0.390625,0.08926135995745396,0.08926135995745396,90.0302734375,90.0,89.19681928099851,126.73406292342294,180.0,96,0.375,119,0.46484375,124,0.484375,128,0.5,128,0.5
validation,funsd,240,240,0,0.0,240,0,0.0,0.42916666666666664,0.08773206217734714,0.08773206217734714,88.53125,2.625,89.30097786943601,125.74755216305405,180.0,97,0.4041666666666667,119,0.49583333333333335,121,0.5041666666666667,122,0.5083333333333333,122,0.5083333333333333
validation,sroie,240,240,0,0.0,240,0,0.0,0.3375,0.07229936962175237,0.07229936962175237,90.43854166666667,90.0,61.427185247710945,109.32716453951414,180.0,30,0.125,45,0.1875,51,0.2125,56,0.23333333333333334,57,0.2375
