epoch,loss,entity_token_f1,canonical_evidence_token_f1,relation_f1,document_macro_f1,upright_composite_score,rotated_37_entity_token_f1,rotated_37_canonical_evidence_token_f1,rotated_37_relation_f1,rotated_37_document_macro_f1,rotated_37_composite_score,selection_composite_score
1,1.006874489235878,0.7946052721204278,0.7811868734992568,0.35436094349972574,0.6205587498157158,0.6637849380794884,0.7655937491666445,0.7487016677445274,0.35494505494505496,0.6191839469003381,0.6440675750290872,0.657869729164368
2,0.25627809778708033,0.9228738063192976,0.953900932034768,0.405009633911368,0.9986622715961507,0.8087433911738682,0.9202534243061612,0.9538072669826224,0.39529502506748937,0.9959580235127645,0.8049727450862689,0.8076121973475883
3,0.2243724860407179,0.9396315321926538,0.9589833920483141,0.4089701976984361,0.9986622715961507,0.8177072374733643,0.937521743051887,0.9595086346521949,0.3611842105263158,0.993214781886028,0.8045033867039852,0.8137460822425505
4,0.20870461211565416,0.9439501435690097,0.9628756629345905,0.43874643874643876,0.9949697960396678,0.8274825624518279,0.9394723627795589,0.9640330188679245,0.40045312942509204,0.9949697960396678,0.8164074617890446,0.8241600322529928
